h,r,t,ts,rank_tail,rank_head
0,tensor(13),6943,155,3,3803
6943,tensor(13),10388,155,278,11231
0,tensor(13),1002,155,229,3115
4166,tensor(13),0,155,1,7074
8055,tensor(13),9054,155,5354,12348
6022,tensor(13),7388,155,40,3915
4166,tensor(13),5610,155,30,2707
6022,tensor(13),0,155,1,6849
8943,tensor(13),9054,155,83,1565
4166,tensor(13),6944,155,27,3795
8055,tensor(13),10099,155,2853,10848
0,tensor(13),3011,155,107,8391
0,tensor(13),4533,155,285,5367
8943,tensor(13),6943,155,2,2473
0,tensor(13),4067,155,294,3555
3166,tensor(13),3610,155,6,8369
6163,tensor(13),3610,155,5,5667
6277,tensor(13),3104,155,1084,5889
447,tensor(13),6943,155,3,1741
0,tensor(13),1780,155,143,7697
3488,tensor(13),5721,155,25,8485
6277,tensor(13),5832,155,6,5207
0,tensor(13),11388,155,97,3058
6943,tensor(13),3455,155,262,10314
8943,tensor(13),0,155,1,10018
3166,tensor(13),6943,155,4,10043
0,tensor(13),10499,155,114,8848
10499,tensor(13),0,155,1,4008
3166,tensor(13),0,155,2,2119
2967,tensor(13),0,155,2,1490
0,tensor(13),1113,155,17,4213
0,tensor(13),3610,155,5,8170
447,tensor(13),3610,155,1,185
4333,tensor(13),3211,155,117,3230
7388,tensor(13),2889,155,501,11807
0,tensor(13),3166,155,21,4519
5747,tensor(79),3610,155,5,6711
2447,tensor(79),7155,155,516,1379
7155,tensor(79),2447,155,78,7079
3482,tensor(79),1,155,2,7881
1,tensor(79),3482,155,1587,6504
8277,tensor(79),3132,155,746,6115
3132,tensor(79),8277,155,93,5665
4388,tensor(79),4721,155,10,6826
4721,tensor(79),4388,155,17,6338
3942,tensor(79),4945,155,243,4072
3419,tensor(79),9444,155,905,6748
9444,tensor(79),3419,155,1981,7319
8277,tensor(79),2857,155,2332,4172
2857,tensor(79),8277,155,149,10677
12054,tensor(79),0,155,3,10896
1,tensor(79),0,155,1,6962
4388,tensor(79),8610,155,54,9297
8610,tensor(79),4388,155,17,5761
3277,tensor(79),0,155,1,1050
114,tensor(197),0,155,1,8871
11388,tensor(197),7277,155,88,9573
4833,tensor(197),4277,155,28,6337
3477,tensor(197),3166,155,33,10408
3610,tensor(197),10154,155,795,3075
558,tensor(197),3255,155,828,11000
5833,tensor(197),3255,155,109,4454
11054,tensor(197),5924,155,9192,3178
780,tensor(197),6721,155,12,85
8067,tensor(197),4831,155,3782,7435
1113,tensor(197),0,155,1,5855
3022,tensor(197),4617,155,7775,7110
4721,tensor(197),4617,155,7773,7013
5832,tensor(112),0,155,1,5655
9165,tensor(112),2224,155,1,819
8832,tensor(112),7744,155,679,3823
7166,tensor(112),4610,155,16,547
4867,tensor(112),3020,155,3687,10215
0,tensor(112),4721,155,14,9111
7832,tensor(112),11387,155,201,11903
4721,tensor(112),11387,155,12,2693
1558,tensor(112),0,155,1,10204
3611,tensor(112),6388,155,58,6387
9165,tensor(112),4721,155,34,11009
3277,tensor(112),11387,155,58,10884
115,tensor(112),0,155,1,7915
5493,tensor(112),0,155,3,10760
10721,tensor(112),3388,155,26,6902
3477,tensor(112),4333,155,275,8142
5477,tensor(112),12387,155,132,6477
5477,tensor(112),3878,155,161,2373
9165,tensor(112),3055,155,74,10510
7222,tensor(112),6943,155,3,6581
8832,tensor(112),2833,155,21,8649
3978,tensor(112),3956,155,207,3711
9610,tensor(112),7744,155,715,8350
10832,tensor(112),2944,155,28,1633
3800,tensor(112),2833,155,257,11936
4610,tensor(112),7588,155,491,4626
3737,tensor(112),2833,155,18,7071
1113,tensor(112),4610,155,16,6309
4657,tensor(112),0,155,2,10436
0,tensor(112),1,155,2,3405
2861,tensor(112),9054,155,334,11526
4055,tensor(112),1,155,2,6088
